GeneID	Base_mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj
ENSG00000163064	1418.248533	-7.06349464	0.171499322	-41.18672046	0	0
ENSG00000180828	653.3504081	-4.673393895	0.11446189	-40.82925689	0	0
ENSG00000205476	1019.228728	-4.03295978	0.104593317	-38.55848424	0	0
ENSG00000176624	816.9879215	-4.624898471	0.10983501	-42.10768917	0	0
ENSG00000160994	1735.418378	-8.566702756	0.193777371	-44.20899462	0	0
ENSG00000053918	619.8993671	-4.369497839	0.120949592	-36.12660241	8.67E-286	1.77E-282
ENSG00000117632	396.3756102	-4.129757924	0.123908013	-33.32922394	1.46E-243	2.55E-240
ENSG00000152439	712.5868472	-3.458220255	0.10817093	-31.96995939	2.85E-224	4.37E-221
ENSG00000120057	2198.013175	-6.21272194	0.195884263	-31.7162893	9.26E-221	1.26E-217
ENSG00000130749	428.7168295	-3.470845715	0.112003123	-30.98882991	7.62E-211	9.33E-208
ENSG00000140836	900.135757	-2.471624243	0.084034608	-29.41198046	3.86E-190	4.30E-187
ENSG00000134775	611.9095988	-3.035359424	0.109220041	-27.79123125	5.54E-170	5.65E-167
ENSG00000074047	715.6834557	-6.713055983	0.248274966	-27.03879527	5.17E-161	4.87E-158
ENSG00000179698	562.7738872	-3.504402981	0.134812433	-25.99465726	5.69E-149	4.98E-146
ENSG00000165886	289.8443979	-3.524435634	0.139844843	-25.20247117	3.76E-140	3.07E-137
ENSG00000143248	482.6893265	-3.128722626	0.125760534	-24.878414	1.27E-136	9.75E-134
ENSG00000166508	465.041574	-2.477957277	0.101744389	-24.35473142	5.17E-131	3.72E-128
ENSG00000171724	303.3686817	-2.981383865	0.123233107	-24.19304303	2.63E-129	1.79E-126
ENSG00000115053	1219.46017	-3.285608573	0.137271461	-23.93511775	1.32E-126	8.51E-124
ENSG00000277157	228.7230435	-3.609547823	0.153145596	-23.56938705	7.94E-123	4.86E-120
ENSG00000144455	161.1221917	-5.051532709	0.227392376	-22.21504871	2.46E-109	1.43E-106
ENSG00000277775	190.9377949	-3.730604576	0.167970822	-22.209837	2.76E-109	1.54E-106
ENSG00000158406	225.7453207	-3.038303854	0.142640076	-21.30049237	1.12E-100	5.98E-98
ENSG00000158373	206.0208455	-3.474070137	0.166983601	-20.80485821	3.91E-96	2.00E-93
ENSG00000198910	751.7425874	-2.133591213	0.104099356	-20.49571963	2.35E-93	1.15E-90
ENSG00000090581	592.8626242	-3.474031867	0.169579944	-20.48610099	2.86E-93	1.35E-90
ENSG00000184357	196.8312222	-3.143868497	0.156776922	-20.0531332	1.90E-89	8.59E-87
ENSG00000286522	225.3663912	-2.846232175	0.142187596	-20.01744352	3.88E-89	1.70E-86
ENSG00000272031	218.3919416	-3.272785707	0.170475632	-19.1979679	3.85E-82	1.62E-79
ENSG00000132646	141.4293774	-3.857128994	0.203382209	-18.96492823	3.32E-80	1.36E-77
ENSG00000197061	394.0417473	-2.103487826	0.114202518	-18.41892682	9.26E-76	3.66E-73
ENSG00000066279	166.4150201	-3.115878299	0.169208262	-18.41445725	1.01E-75	3.85E-73
ENSG00000168542	874.5409079	2.113730089	0.115882326	18.24031464	2.47E-74	9.16E-72
ENSG00000198959	709.8043504	2.804224117	0.154070687	18.20089317	5.08E-74	1.83E-71
ENSG00000168772	145.0856892	-4.698420422	0.259241731	-18.12370409	2.07E-73	7.25E-71
ENSG00000180596	115.756247	-4.106824802	0.22682689	-18.10554651	2.88E-73	9.80E-71
ENSG00000184260	148.2279935	-3.606691907	0.200217402	-18.01387831	1.52E-72	5.02E-70
ENSG00000184678	127.8686912	-3.64593246	0.206392089	-17.66507853	7.79E-70	2.51E-67
ENSG00000110367	166.2252755	-2.871908101	0.164797387	-17.42690319	5.16E-68	1.62E-65
ENSG00000115524	302.3210258	-2.675095715	0.154327042	-17.3339402	2.61E-67	7.98E-65
ENSG00000198938	911.0403457	-1.363542709	0.078980456	-17.26430544	8.73E-67	2.61E-64
ENSG00000287080	172.8776047	-3.241949366	0.191904349	-16.89356899	5.02E-64	1.46E-61
ENSG00000134294	156.3232935	-2.936277707	0.174162591	-16.85940532	8.95E-64	2.55E-61
ENSG00000245848	95.51874939	-4.34911577	0.260691583	-16.6829927	1.74E-62	4.85E-60
ENSG00000143933	168.2839949	-2.81719199	0.170106305	-16.56136135	1.33E-61	3.61E-59
ENSG00000169181	101.6696117	-3.705870076	0.226038066	-16.39489378	2.08E-60	5.54E-58
ENSG00000081985	245.4713293	-3.403533702	0.209320941	-16.25988153	1.90E-59	4.95E-57
ENSG00000126247	352.5712533	-2.213074153	0.137033167	-16.14991609	1.14E-58	2.90E-56
ENSG00000277075	204.3071082	-2.638248878	0.164308779	-16.05665193	5.14E-58	1.28E-55
ENSG00000167702	214.5314593	-2.594884596	0.162113278	-16.00661361	1.15E-57	2.81E-55
ENSG00000274750	98.93787108	-3.623688885	0.227549062	-15.92486845	4.26E-57	1.02E-54
ENSG00000278828	119.2791213	-3.462757483	0.219554984	-15.77170979	4.87E-56	1.15E-53
ENSG00000196118	81.34168519	-4.495718817	0.288906976	-15.56112932	1.34E-54	3.09E-52
ENSG00000143320	924.2701243	-1.331012871	0.086301124	-15.42289144	1.15E-53	2.60E-51
ENSG00000037749	95.64057318	-3.452370369	0.225655731	-15.29928067	7.73E-53	1.72E-50
